Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TTPH,"Tetraphase Pharmaceuticals, Inc.",1.78,95453776.26,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ttph
TCBI,"Texas Capital Bancshares, Inc.",59.08,2964728042,n/a,2003,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbi
TCBIL,"Texas Capital Bancshares, Inc.",25.24,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbil
TCBIP,"Texas Capital Bancshares, Inc.",25.18,151080000,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbip
TCBIW,"Texas Capital Bancshares, Inc.",45.24,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbiw
TXN,Texas Instruments Incorporated,96.38,92577157278,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/txn
TXRH,"Texas Roadhouse, Inc.",63.43,4538428108,n/a,2004,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/txrh
TFSL,TFS Financial Corporation,15.96,4473764677,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/tfsl
TGTX,"TG Therapeutics, Inc.",5.06,419460201.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tgtx
ANDE,"The Andersons, Inc.",32.98,933334000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/ande
TBBK,"The Bancorp, Inc.",9.83,554865045,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tbbk
BPRN,The Bank of Princeton,28.57,189738484,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bprn
CG,The Carlyle Group L.P.,19.2,6513727757,n/a,2012,Finance,Investment Managers,https://www.nasdaq.com/symbol/cg
TCGP,The Carlyle Group L.P.,21.56,0,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/tcgp
CAKE,The Cheesecake Factory Incorporated,48.23,2186520892,n/a,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cake
CHEF,"The Chefs&#39; Warehouse, Inc.",36.5,1093912227,n/a,2011,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/chef
TCFC,The Community Financial Corporation,30.39,169426985.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcfc
DSGX,The Descartes Systems Group Inc.,28.5,2190640131,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dsgx
DXYN,"The Dixie Group, Inc.",1.5,24692838,n/a,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/dxyn
ENSG,"The Ensign Group, Inc.",45.12,2360640770,n/a,2007,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ensg
XONE,The ExOne Company,8.38,136593597.8,n/a,2013,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/xone
FBMS,"The First Bancshares, Inc.",35.31,461358800.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fbms
FLIC,The First of Long Island Corporation,20.95,532567226.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/flic
GT,The Goodyear Tire & Rubber Company,23.26,5419813670,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/gt
HABT,"The Habit Restaurants, Inc.",13,338640484,n/a,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/habt
HCKT,"The Hackett Group, Inc.",17.78,524834236.1,n/a,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/hckt
HAIN,"The Hain Celestial Group, Inc.",21.41,2227997009,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/hain
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",5.7599,35329262.47,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cuba
INTG,The Intergroup Corporation,31.7804,74687022.7,n/a,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/intg
JYNT,The Joint Corp.,7.87,108088098.9,n/a,2014,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/jynt
KEYW,The KEYW Holding Corporation,8.47,422296785.7,n/a,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/keyw
KHC,The Kraft Heinz Company,51.07,62276535849,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/khc
OLD,The Long-Term Care ETF,26.3091,2630936.309,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/old
LOVE,The Lovesac Company,18.16,234752885.4,n/a,2018,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/love
MSG,The Madison Square Garden Company,264.92,6292263805,n/a,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/msg
MDCO,The Medicines Company,21.43,1582866432,n/a,2000,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mdco
MEET,"The Meet Group, Inc.",4.09,302420436.4,n/a,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/meet
MIK,"The Michaels Companies, Inc.",16.84,2885829104,n/a,2014,Consumer Services,Recreational Products/Toys,https://www.nasdaq.com/symbol/mik
MIDD,The Middleby Corporation,117.93,6585996850,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/midd
NAVG,"The Navigators Group, Inc.",69.41,2066107966,n/a,1986,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/navg
SLIM,The Obesity ETF,32.89,3289032.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slim
STKS,"The ONE Group Hospitality, Inc.",2.91,80583079.8,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/stks
ORG,The Organics ETF,27.66,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/org
PRSC,The Providence Service Corporation,67.65,866661917.6,n/a,2003,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/prsc
RMR,The RMR Group Inc.,63.5,1979578401,n/a,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/rmr
SMPL,The Simply Good Foods Company,19.57,1582219783,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/smpl
TSG,The Stars Group Inc.,19.19,5221124719,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/tsg
TTD,"The Trade Desk, Inc.",129.4,5595530328,n/a,2016,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ttd
ULTI,"The Ultimate Software Group, Inc.",251.62,7867992337,n/a,1998,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ulti
YORW,The York Water Company,32.7,422869107.9,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/yorw
NCTY,The9 Limited,1.43,13149340.49,9195343,2004,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ncty
TXMD,"TherapeuticsMD, Inc.",4.86,1156102579,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/txmd
TRPX,Therapix Biosciences Ltd.,6.97,22728898.17,3260961,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trpx
TBPH,"Theravance Biopharma, Inc.",26.21,1452329229,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tbph
TST,"TheStreet, Inc.",1.67,82852340.6,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/tst
TCRD,"THL Credit, Inc.",7.09,231655753.1,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/tcrd
TBRG,"Thunder Bridge Acquisition, Ltd.",9.8,76430043.2,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tbrg
TBRGU,"Thunder Bridge Acquisition, Ltd.",10.15,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tbrgu
TBRGW,"Thunder Bridge Acquisition, Ltd.",0.44,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tbrgw
TIBR,Tiberius Acquisition Corporation,9.69,54546347.22,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibr
TIBRU,Tiberius Acquisition Corporation,10.15,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibru
TIBRW,Tiberius Acquisition Corporation,0.4922,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tibrw
TTTN,TigerShares China-U.S. Internet Titans ETF,23.828,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tttn
TTS,"Tile Shop Hldgs, Inc.",6.06,319722921.5,n/a,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/tts
TLRY,"Tilray, Inc.",114.14,10633835408,n/a,2018,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/tlry
TSBK,"Timberland Bancorp, Inc.",28,207085956,n/a,n/a,Finance,Banks,https://www.nasdaq.com/symbol/tsbk
TIPT,Tiptree Inc.,5.62,205478052.2,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/tipt
TITN,Titan Machinery Inc.,14.23,316164217.6,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/titn
TMDI,Titan Medical Inc.,1.97,42701422.53,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/tmdi
TTNP,"Titan Pharmaceuticals, Inc.",0.352,27447074.69,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ttnp
TVTY,"Tivity Health, Inc.",37.13,1494480644,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/tvty
TIVO,TiVo Corporation,9.83,1218202410,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/tivo
TLSA,Tiziana Life Sciences plc,8.3775,4231098.263,505055,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tlsa
TKKS,TKK Symphony Acquisition Corporation,9.57,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tkks
TKKSR,TKK Symphony Acquisition Corporation,0.38,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tkksr
TKKSU,TKK Symphony Acquisition Corporation,10.13,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tkksu
TKKSW,TKK Symphony Acquisition Corporation,0.2,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tkksw
TMUS,"T-Mobile US, Inc.",67.49,57258045055,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tmus
TMSR,TMSR Holding Company Limited,2.26,54396905.02,n/a,2015,Finance,Business Services,https://www.nasdaq.com/symbol/tmsr
TOCA,Tocagen Inc.,11.68,233054322.1,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/toca
TNXP,Tonix Pharmaceuticals Holding Corp.,0.4541,6449783.92,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tnxp
TISA,"Top Image Systems, Ltd.",0.65,11863619.3,n/a,1996,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/tisa
TOPS,TOP Ships Inc.,1.1,21410896.1,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/tops
TRCH,"Torchlight Energy Resources, Inc.",0.672,47115516.67,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/trch
TRMD,TORM plc,6.48,478872000,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/trmd
TOTA,Tottenham Acquisition I Limited,9.82,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tota
TOTAR,Tottenham Acquisition I Limited,0.4,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/totar
TOTAU,Tottenham Acquisition I Limited,10.28,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/totau
TOTAW,Tottenham Acquisition I Limited,0.2192,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/totaw
TBLTU,"ToughBuilt Industries, Inc.",4.782,0,n/a,2018,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tbltu
TSEM,Tower Semiconductor Ltd.,14.89,1562092449,n/a,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsem
CLUB,"Town Sports International Holdings, Inc.",7.1,192994244.8,n/a,2006,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/club
TOWN,Towne Bank,27.88,2017482475,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/town
TPIC,"TPI Composites, Inc.",25.67,885894546.3,n/a,2016,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tpic
TCON,"TRACON Pharmaceuticals, Inc.",1.18,35248165.86,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/tcon
TSCO,Tractor Supply Company,88.85,10845746598,n/a,1994,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/tsco
TWMC,Trans World Entertainment Corp.,1.02,36950340.48,n/a,n/a,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/twmc
TACT,TransAct Technologies Incorporated,10.46,77171557.88,n/a,1996,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/tact
TRNS,"Transcat, Inc.",20.25,145798926.8,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/trns
TGA,TransGlobe Energy Corporation,2.17,156685650.7,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tga
TBIO,"Translate Bio, Inc.",6.79,306512075.1,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/tbio
TA,TravelCenters of America LLC,4.35,172991300.3,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/ta
TANNI,TravelCenters of America LLC,24.245,0,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/tanni
TANNL,TravelCenters of America LLC,23.3382,0,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/tannl
TANNZ,TravelCenters of America LLC,23.7524,0,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/tannz
TZOO,Travelzoo,8.91,107907415.1,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/tzoo
TRMT,Tremont Mortgage Trust,10.25,32215124.75,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/trmt
TRVN,"Trevena, Inc.",0.6322,52044861.7,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trvn
TPCO,Tribune Publishing Company,14.21,505895354,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/tpco
TCDA,"Tricida, Inc.",29.25,1231618167,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tcda
TCBK,TriCo Bancshares,37.55,1141938119,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbk
TDAC,Trident Acquisitions Corp.,9.89,69565330.34,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tdac
TDACU,Trident Acquisitions Corp.,10.25,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tdacu
TDACW,Trident Acquisitions Corp.,0.27,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tdacw
TRIL,Trillium Therapeutics Inc.,2.84,41716280.04,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tril
TRS,TriMas Corporation,28.54,1307550767,n/a,2007,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/trs
TRMB,Trimble Inc.,37.18,9337637615,n/a,1990,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/trmb
TRIB,Trinity Biotech plc,2.91,69714360.75,23956825,1992,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/trib
TMCX,Trinity Merger Corp.,9.92,427800000,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tmcx
TMCXU,Trinity Merger Corp.,10.27,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tmcxu
TMCXW,Trinity Merger Corp.,0.36,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/tmcxw
TRIP,"TripAdvisor, Inc.",61.21,8426559242,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/trip
TSC,"TriState Capital Holdings, Inc.",25.29,729927010.6,n/a,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/tsc
TSCAP,"TriState Capital Holdings, Inc.",26,752683958,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tscap
TBK,"Triumph Bancorp, Inc.",37.66,989695799.3,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/tbk
TRVG,trivago N.V.,6.2,192479632.4,31045102,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/trvg
TROV,"TrovaGene, Inc.",0.7125,16381046.18,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/trov
TRUE,"TrueCar, Inc.",10.65,1107649949,n/a,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/true
THST,"Truett-Hurst, Inc.",1.9283,8670386.909,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/thst
TRUP,"Trupanion, Inc.",26.95,900667221.3,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/trup
TRST,TrustCo Bank Corp NY,7.73,747170916.2,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/trst
TRMK,Trustmark Corporation,31.45,2109944678,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/trmk
TSRI,"TSR, Inc.",5.97,11713510.14,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/tsri
TTEC,"TTEC Holdings, Inc.",27.72,1280472094,n/a,1996,Technology,Professional Services,https://www.nasdaq.com/symbol/ttec
TTMI,"TTM Technologies, Inc.",11.94,1237906831,n/a,2000,Technology,Electrical Products,https://www.nasdaq.com/symbol/ttmi
TC,TuanChe Limited,7,21000000,3000000,2018,n/a,n/a,https://www.nasdaq.com/symbol/tc
TCX,Tucows Inc.,54.42,577699101.7,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/tcx
TUES,Tuesday Morning Corp.,2.52,117749298.2,n/a,1999,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tues
TOUR,Tuniu Corporation,5.95,211885860.6,35611069,2014,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/tour
HEAR,Turtle Beach Corporation,15.18,216156961,n/a,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/hear
TWLV,Twelve Seas Investment Company,9.8,262434200,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/twlv
TWLVR,Twelve Seas Investment Company,0.37,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/twlvr
TWLVU,Twelve Seas Investment Company,10.3,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/twlvu
TWLVW,Twelve Seas Investment Company,0.32,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/twlvw
FOX,"Twenty-First Century Fox, Inc.",48.55,90084208988,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/fox
FOXA,"Twenty-First Century Fox, Inc.",48.87,59667335796,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/foxa
TWIN,"Twin Disc, Incorporated",17.92,234528215,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/twin
TWST,Twist Bioscience Corporation,25.52,5666563365,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/twst
TRCB,Two River Bancorp,15.125,129436694.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/trcb
TYME,"Tyme Technologies, Inc.",2.8,288417782.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tyme
USCR,"U S Concrete, Inc.",39.03,656498689.8,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/uscr
PRTS,"U.S. Auto Parts Network, Inc.",1.04,36386253.28,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prts
USEG,U.S. Energy Corp.,0.9,12110813.1,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/useg
GROW,"U.S. Global Investors, Inc.",1.2661,19175883.41,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/grow
